X_Y    13CO J=2-1    C+ 158um    CH+ J=1-0    CO J=10-9    CO J=2-1    HCO+ J=3-2
29_5    5.470283e-07    0.0029384075    2.7436963e-06    6.1812796e-05    2.1438732e-06    7.609085e-08
30_5    4.2925913e-07    0.0026279313    4.1478063e-07    2.0995098e-05    1.7770273e-06    3.7548304e-08
31_5    3.447537e-07    0.0023906687    2.496084e-08    5.951916e-06    1.6079141e-06    1.3596122e-08
32_5    2.9321276e-07    0.0023020795    2.3687363e-07    3.2326013e-06    1.5217623e-06    3.2104273e-09
33_5    2.565241e-07    0.0022709533    -2.991313e-08    3.0310512e-06    1.4586276e-06    5.728616e-09
34_5    2.3654594e-07    0.0022503468    -2.5799469e-07    5.2658534e-06    1.4464256e-06    1.1036634e-08
35_5    2.4079233e-07    0.0022545224    7.640473e-07    1.055367e-05    1.5171406e-06    1.7744348e-08
36_5    2.558572e-07    0.0022387407    1.0449373e-06    2.1716862e-05    1.6536983e-06    2.3562354e-08
37_5    2.7008662e-07    0.0020737145    1.3078696e-06    2.5552354e-05    1.7313051e-06    1.9186915e-08
38_5    2.8036624e-07    0.0017657533    4.534325e-07    1.1628818e-05    1.6700299e-06    1.8466162e-08
39_5    2.827071e-07    0.0015537512    9.31079e-07    4.446054e-06    1.5910275e-06    2.5318196e-08
40_5    2.8221427e-07    0.0014807872    1.0158111e-06    3.2849412e-06    1.5569597e-06    3.0537414e-08
0_6    1.1924291e-07    0.0014409998    3.3030358e-07    -5.8047885e-06    1.3793132e-06    nan
1_6    1.2268829e-07    0.0014809738    3.2340154e-07    -5.398613e-06    1.387615e-06    nan
2_6    1.2858287e-07    0.0015381476    -9.530178e-08    -4.1443955e-06    1.3988666e-06    nan
3_6    1.30346e-07    0.0015346615    -4.9385058e-08    -1.7632206e-06    1.4019804e-06    nan
4_6    1.2971557e-07    0.0015107241    5.942039e-07    4.205441e-06    1.42139e-06    nan
5_6    1.3767249e-07    0.0015461482    1.3094743e-07    4.8654742e-06    1.5343404e-06    6.25022e-08
6_6    1.553378e-07    0.0017006833    6.289268e-07    8.208551e-06    1.7954975e-06    6.384093e-08
7_6    1.791418e-07    0.0019497897    1.7111369e-06    2.0395246e-05    2.0645186e-06    6.6970166e-08
8_6    2.111522e-07    0.0021056242    1.1944009e-06    2.5627245e-05    2.168616e-06    7.037484e-08
9_6    2.3899318e-07    0.002109015    1.410772e-06    2.0778221e-05    2.1854048e-06    6.7108886e-08
10_6    2.5901662e-07    0.0020070765    1.8373725e-06    1.5463836e-05    2.2118609e-06    5.5730503e-08
11_6    2.7409362e-07    0.0018601492    1.0690179e-06    1.3595242e-05    2.25666e-06    4.5389452e-08
12_6    2.8274977e-07    0.0017638683    5.7574863e-07    1.26298255e-05    2.2842821e-06    4.689194e-08
13_6    2.8627167e-07    0.0017467224    2.1299918e-07    1.2998592e-05    2.2730815e-06    4.7295387e-08
14_6    2.907167e-07    0.0018878217    1.4723608e-07    1.4086408e-05    2.2665388e-06    4.3140627e-08
15_6    3.0611955e-07    0.0021409204    1.3520405e-07    1.6908914e-05    2.2904376e-06    3.824382e-08
