X_Y    13CO J=2-1    C+ 158um    CH+ J=1-0    CO J=10-9    CO J=2-1    HCO+ J=3-2
27_3    1.3724951e-09    5.3350936e-06    1.05932095e-07    6.4294e-07    1.249129e-09    7.924364e-09
28_3    1.4268003e-09    5.522566e-06    9.680548e-08    6.892699e-07    1.0837125e-09    8.495094e-09
29_3    1.5299649e-09    5.577465e-06    1.1199748e-07    6.477874e-07    1.1430802e-09    7.954692e-09
30_3    1.6722846e-09    5.4647817e-06    1.077986e-07    7.14607e-07    1.4687689e-09    7.505008e-09
31_3    1.3145041e-09    5.6909516e-06    1.1155439e-07    7.530674e-07    1.4842234e-09    7.475314e-09
32_3    1.4265831e-09    5.263016e-06    8.9358906e-08    7.0680835e-07    1.3629764e-09    7.512176e-09
33_3    1.2077211e-09    5.515628e-06    9.063467e-08    7.3850964e-07    1.2178812e-09    7.598357e-09
34_3    1.5876844e-09    5.5700602e-06    9.025976e-08    6.580127e-07    1.474792e-09    7.592933e-09
35_3    1.6376394e-09    5.2393e-06    1.1718709e-07    7.0985607e-07    1.7253905e-09    8.413278e-09
36_3    1.6441957e-09    5.2662567e-06    1.2091377e-07    7.384122e-07    1.475837e-09    1.0285041e-08
37_3    1.7626688e-09    5.5652886e-06    9.663343e-08    6.419168e-07    1.4139201e-09    1.2247642e-08
38_3    1.7631522e-09    7.0457777e-06    9.1634895e-08    7.4498405e-07    1.6692374e-09    1.8207757e-08
39_3    2.506528e-09    1.1326304e-05    1.3111313e-07    1.1095942e-06    2.0084314e-09    3.069586e-08
40_3    3.168752e-09    1.4123728e-05    1.5287091e-07    1.2924936e-06    2.232186e-09    4.0593676e-08
0_4    2.252483e-09    1.125227e-05    1.1484404e-07    1.6808672e-06    2.2045987e-09    nan
1_4    2.0262423e-09    8.984736e-06    1.1416859e-07    1.4237243e-06    1.8536789e-09    nan
2_4    1.7424681e-09    5.8229543e-06    9.158437e-08    7.721851e-07    1.5365179e-09    nan
3_4    1.8095411e-09    4.9993973e-06    1.0231289e-07    5.726199e-07    1.7327287e-09    nan
4_4    1.7428744e-09    4.8846655e-06    1.1366317e-07    6.7969495e-07    1.7434325e-09    nan
5_4    1.8123528e-09    4.793303e-06    9.243618e-08    6.7875374e-07    1.3791357e-09    3.381182e-08
6_4    2.2154933e-09    4.830545e-06    1.0235237e-07    5.966727e-07    1.2157239e-09    2.8719311e-08
7_4    2.0666648e-09    4.658459e-06    1.06619325e-07    6.312516e-07    1.4235068e-09    2.1469319e-08
8_4    1.6215911e-09    4.3909895e-06    7.042925e-08    6.049938e-07    1.2707936e-09    1.2503681e-08
9_4    1.9717878e-09    4.3845625e-06    9.431016e-08    7.6680567e-07    7.3825784e-10    8.9603684e-09
10_4    1.6812668e-09    4.495354e-06    9.864509e-08    6.742852e-07    1.2429496e-09    8.176764e-09
11_4    1.3534709e-09    4.563083e-06    7.171978e-08    5.992439e-07    1.084953e-09    8.30845e-09
12_4    1.0263111e-09    4.514667e-06    1.02074345e-07    7.7518047e-07    1.189672e-09    7.324226e-09
13_4    1.1830251e-09    4.4874314e-06    1.1568223e-07    6.9442945e-07    1.455333e-09    7.0634014e-09
14_4    1.247746e-09    4.5491965e-06    6.3463965e-08    6.630261e-07    1.3937531e-09    7.521927e-09
15_4    1.0546373e-09    4.7147573e-06    1.12390545e-07    7.3307933e-07    9.30185e-10    8.099037e-09
16_4    1.1863934e-09    4.760396e-06    7.312223e-08    7.4076564e-07    7.983965e-10    7.96054e-09
17_4    1.3504806e-09    4.5955703e-06    9.575817e-08    7.386097e-07    1.254644e-09    7.90394e-09
18_4    1.7106225e-09    4.710998e-06    1.0323618e-07    7.650276e-07    1.3334965e-09    7.187681e-09
19_4    1.7154028e-09    4.6754813e-06    1.1090631e-07    6.0458507e-07    1.3845852e-09    6.718985e-09
20_4    1.5123547e-09    4.482981e-06    9.739893e-08    6.4867737e-07    1.3468211e-09    7.429014e-09
21_4    1.5609847e-09    4.237585e-06    1.08551816e-07    6.0489606e-07    9.78231e-10    7.564317e-09
22_4    1.6311187e-09    4.1969324e-06    1.14731e-07    6.610164e-07    9.605718e-10    7.989099e-09
23_4    1.641764e-09    4.269091e-06    1.0694192e-07    6.9455535e-07    1.1293638e-09    7.745915e-09
