X_Y  COJ4-3  COJ5-4  COJ6-5  COJ7-6  COJ8-7  COJ9-8  COJ10-9  COJ11-10  COJ12-11  COJ13-12  13COJ5-4  13COJ6-5  13COJ7-6  13COJ8-7  13COJ9-8  13COJ10-9  13COJ11-10  13COJ12-11  13COJ13-12  CI609  CI370
8_7  2.2663e-09  2.0984e-09  1.6306e-09  8.7001e-10  2.1113e-09  2.7463e+07  5.8243e-09  4.8049e-09  3.5809e-09  1.2606e-08  5.7044e-09  1.2769e-09  7.7645e-10  3.1214e-09  3.3521e-09  4.3794e-09  7.2864e-09  3.0847e-09  2.8952e-09  1.6017e-09  7.0163e-10
8_8  2.0951e-09  1.3284e-09  1.4630e-09  8.2743e-10  1.8381e-09  2.1838e-09  6.3755e-09  3.6133e-09  7.4804e-09  4.1247e-09  3.9407e-09  1.2031e-09  5.4030e-10  2.8560e-09  3.9001e-09  2.6343e-09  2.4962e-09  3.4982e-09  inf  1.2807e-09  6.6010e-10
8_9  2.6141e-09  2.1469e-09  1.8218e-09  1.0523e-09  2.4009e-09  4.7017e-09  3.6168e-09  2.2643e-09  2.9588e-09  4.2284e-09  4.0431e-09  1.8189e-09  5.7056e-10  1.8625e-09  2.3093e-09  2.1317e-09  3.4422e-09  2.3770e-09  inf  3.0141e-09  1.5238e-09
8_10  1.4616e-09  1.4990e-09  8.3106e-10  1.0794e-09  1.2907e-09  3.1071e-09  3.2686e-09  4.8011e-09  3.1333e-09  1.0237e-08  1.5903e-09  7.7268e-10  inf  1.9646e-09  inf  1.9744e-09  inf  2.9913e-09  3.3774e-09  1.2882e-09  8.5425e-10
8_11  1.8475e-09  1.1422e-09  8.5988e-10  8.8523e-10  1.4833e-09  1.4872e-09  5.3565e-09  4.8654e-09  6.5338e-09  8.0788e-09  1.4950e-09  1.8072e-09  1.2420e-09  1.9398e-09  1.6695e-09  inf  inf  2.8538e-09  7.1162e-09  1.6838e-09  7.2622e-10
8_12  1.7523e-09  1.5212e-09  1.1461e-09  8.2521e-10  1.9618e-09  2.2488e-09  3.8504e-09  2.5408e-09  2.2720e-09  4.8124e-09  1.8627e-09  1.2263e-09  1.1717e-09  3.0063e-09  inf  1.3138e-09  4.5399e-09  3.1839e-09  4.0512e-09  2.7138e-09  6.0987e-10
8_13  3.1827e-09  1.6478e-09  1.6081e-09  9.0838e-10  2.6439e-09  3.6674e-09  3.0912e-09  5.0065e-09  4.6042e-09  6.3257e-09  2.4740e-09  1.3551e-09  1.4638e-09  3.0636e-09  4.4110e-09  2.7029e-09  2.1269e-09  3.8038e-09  6.0216e-09  2.1650e-09  8.7525e-10
8_14  2.6875e-09  2.0416e-09  1.3272e-09  1.3146e-09  3.3201e-09  2.5132e-09  4.5086e-09  4.4094e-09  7.7259e-09  6.9688e-09  1.4142e-09  3.2855e-09  9.2069e-10  2.6677e-09  7.6619e-09  1.6996e-09  3.9188e-09  2.4735e-09  4.9276e-09  2.4875e-09  1.3656e-09
8_15  1.7927e-09  1.9090e-09  1.5763e-09  8.1377e-10  3.7998e-09  2.4903e-09  4.5222e-09  3.3324e-09  6.5516e-09  1.5637e-08  2.2851e-09  1.7321e-09  1.2323e-09  3.0941e-09  6.7996e-09  inf  6.9587e-09  3.3636e-09  6.7240e-09  1.8932e-09  8.3363e-10
9_7  2.2139e-09  2.6959e-09  1.3128e-09  5.1862e-10  2.4066e-09  7.0804e-09  3.2666e-09  8.4544e-09  5.0894e-09  inf  2.7199e-09  1.2759e-09  8.5677e-10  2.7922e-09  3.6742e-09  2.6759e-09  2.6992e-09  inf  inf  1.4817e-09  9.6884e-10
9_8  4.1143e-09  3.4466e-09  1.5841e-09  9.6965e-10  2.0976e-09  5.7285e-09  2.6761e-09  8.4336e-09  4.4049e-09  4.6614e-09  inf  1.2376e-09  inf  2.5836e-09  3.9827e-09  1.3869e-09  2.2975e-09  inf  inf  1.5800e-09  1.0041e-09
9_9  1.2748e-09  3.6820e-09  9.9301e-10  1.0339e-09  1.6555e-09  5.5118e-09  7.0958e-09  3.2400e-09  5.1160e-09  inf  inf  2.5642e-09  inf  2.1377e-09  inf  3.0352e-09  8.3880e-09  2.7564e-09  inf  3.0274e-09  1.2113e-09
9_10  2.2533e-09  1.4690e-09  1.3507e-09  1.1260e-09  1.4373e-09  2.4728e-09  7.8667e-09  6.2515e-09  inf  5.1404e-09  1.1749e-09  1.1387e-09  inf  2.5040e-09  2.3634e-09  2.6142e-09  4.6132e-09  2.9855e-09  1.8237e-09  1.1905e-09  7.2964e-10
9_11  1.2928e-09  1.6467e-09  1.0355e-09  1.2618e-09  2.3554e-09  5.9361e-09  5.9560e-09  1.1928e-08  6.8505e-09  6.3329e-09  1.1350e-09  2.2192e-09  1.8934e-09  2.3548e-09  1.8862e-09  3.0542e-09  5.2473e-09  3.2523e-09  3.9644e-09  1.5706e-09  1.0946e-09
9_12  4.3697e-09  1.8448e-09  1.8657e-09  7.7479e-10  1.9485e-09  3.1528e-09  3.2004e-09  2.9942e-09  2.3268e-09  5.4037e-09  3.0609e-09  1.1208e-09  1.2406e-09  2.9054e-09  3.3488e-09  8.8472e-09  1.8442e-09  1.9153e-09  3.2756e-09  1.3337e-09  9.1649e-10
9_13  1.6514e-09  2.1286e-09  1.0403e-09  1.0642e-09  3.0231e-09  3.8326e-09  3.3842e-09  3.8702e-09  2.9122e-09  5.4451e-09  6.9004e-10  1.3740e-09  1.2620e-09  3.0473e-09  5.1352e-09  3.2197e-09  3.6599e-09  2.9807e-08  8.6124e-09  9.9671e-10  8.8691e-10
9_14  2.4984e-09  3.9098e-09  2.4682e-09  1.5828e-09  4.3834e-09  4.6245e-09  6.5521e-09  1.1805e-08  8.4456e-09  5.2924e-09  2.2139e-09  2.1225e-09  1.3749e-09  2.6100e-09  5.2716e-09  1.7604e-09  9.6076e-09  3.0278e-09  inf  1.2102e-09  1.9626e-09
9_15  2.4177e-09  4.8862e-09  2.2649e-09  1.8790e-09  4.0121e-09  3.5607e-09  4.1086e-09  3.8111e-09  4.0088e-09  8.7462e-08  2.6867e-09  1.4231e-09  4.2950e-09  3.0972e-09  4.2095e-09  inf  2.7727e-09  3.1730e-09  2.1508e-08  2.5776e-09  1.6573e-09
10_9  2.0343e-09  3.2673e-09  1.3735e-09  1.0192e-09  1.8624e-09  4.5301e-09  4.2108e-09  3.8556e-09  5.7816e-09  inf  inf  1.8938e-09  4.3407e-09  2.5407e-09  2.8250e-09  4.8379e-09  1.6592e-09  2.3186e-09  inf  3.0724e-09  1.1145e-09
10_10  4.7050e-09  3.5567e-09  2.7027e-09  1.2866e-09  1.8053e-09  3.0764e-09  inf  8.1168e-09  inf  6.0300e-09  2.3917e-09  1.5345e-09  1.5149e-09  2.7735e-09  2.5123e-09  2.3376e-09  1.2930e-09  2.2801e-09  inf  2.1605e-09  1.1543e-09
10_11  2.2150e-09  2.0158e-09  2.3230e-09  1.5132e-09  3.4372e-09  5.1539e-09  5.8220e-09  4.3734e-09  4.9999e-09  3.9257e-09  1.6430e-09  2.3026e-09  1.3154e-09  4.8593e-09  inf  2.3054e-09  2.8107e-09  1.0832e-08  inf  1.3181e-09  1.5466e-09
10_12  2.0992e-09  2.3551e-09  2.0922e-09  9.8873e-10  2.4168e-09  2.3040e-09  1.8512e-09  2.6913e-09  3.1020e-09  7.6159e-09  2.3756e-09  1.8267e-09  1.2433e-09  2.6840e-09  5.3272e-09  5.9895e+06  1.9997e-09  3.0016e-09  5.0541e-09  2.1472e-09  1.1549e-09
10_13  3.0200e-09  3.2588e-09  1.4449e-09  1.3029e-09  2.6744e-09  3.2322e-09  4.7946e-09  3.4123e-09  3.6209e-09  6.0453e-09  1.1378e-09  2.0335e-09  1.1354e-09  3.2024e-09  4.6681e-09  inf  3.4764e-09  inf  6.0006e-09  2.2989e-09  1.2251e-09
10_14  1.9286e-09  2.1031e-09  9.6552e-10  1.5890e-09  2.2944e-09  5.0322e-09  4.9530e-09  4.9498e-09  4.5830e-09  3.7031e-09  4.0126e-09  1.7924e-09  2.1395e-09  2.9567e-09  inf  2.3115e-09  3.6364e-09  3.3025e-09  5.2464e-09  1.9517e-09  1.4600e-09
10_15  2.1638e-09  1.5541e-09  2.1959e-09  9.3028e-10  3.0190e-09  3.3626e-09  2.9716e-09  6.5193e-09  3.0415e-09  5.9946e-09  2.2273e-09  2.1273e-09  9.4105e-10  2.4931e-09  1.9446e-09  4.2870e-09  3.4637e-09  3.5536e-09  7.5349e-09  3.4330e-09  1.1765e-09
11_9  2.1461e-09  1.6200e-09  1.7764e-09  7.9440e-10  2.4521e-09  9.6641e-09  3.5659e-09  4.1255e-09  3.7522e-09  inf  2.0145e-09  1.5869e-09  9.8982e-10  2.5310e-09  4.2217e-09  3.5282e-09  5.0404e-09  2.0354e-09  4.6849e-09  1.3864e-09  9.3848e-10
11_10  3.0691e-09  3.0348e-09  2.9243e-09  1.2055e-09  3.3056e-09  3.8931e-09  7.5260e-09  7.8273e-09  4.6958e-09  7.2991e-09  2.0412e-09  1.7165e-09  1.2614e-09  2.9077e-09  5.5525e-09  5.2934e-09  5.1713e-09  3.8958e-09  inf  1.1944e-09  1.4768e-09
11_11  3.5571e-09  2.3269e-09  1.5359e-09  8.3626e-10  4.1066e-09  2.4779e-09  5.0510e-09  3.0698e-09  8.5378e-09  6.1582e-09  1.6192e-09  1.5720e-09  1.3311e-09  2.9937e-09  8.6500e-09  4.1672e-09  inf  inf  inf  2.9287e-09  1.1810e-09
11_12  4.3692e-09  2.0700e-09  1.7872e-09  1.3420e-09  2.0760e-09  2.7898e-09  1.8669e-09  2.9244e-09  3.1040e-09  7.5228e-09  2.5936e-09  1.4094e-09  1.2174e-09  2.9463e-09  2.4069e-09  2.2571e-09  inf  3.7240e-09  inf  2.7875e-09  1.5098e-09
11_13  3.0096e-09  2.0160e-09  8.6872e-10  9.8390e-10  2.6303e-09  3.5361e-09  4.6779e-09  2.6788e-09  3.7135e-09  9.0636e-09  1.8444e-09  1.1449e-09  1.3966e-09  3.2913e-09  3.2519e-09  3.0283e-09  2.9524e-09  2.9053e-09  inf  1.6583e-09  1.0613e-09
11_14  1.9933e-09  2.1330e-09  1.0069e-09  1.5340e-09  2.5150e-09  3.7990e-09  3.8970e-09  2.5176e-09  3.4089e-09  1.0703e-08  3.6260e-09  1.3686e-09  1.6935e-09  2.7934e-09  1.8723e+07  2.8492e-09  8.7785e-09  4.5171e-09  3.2578e-09  1.6028e-09  1.3354e-09
11_15  2.6641e-09  3.0369e-09  1.2941e-09  1.2336e-09  2.6451e-09  7.0846e-09  4.6441e-09  4.4557e-09  inf  5.6618e-09  2.5029e-09  1.7958e-09  1.5758e-09  3.2208e-09  inf  2.5689e-09  2.4903e-09  5.8073e-09  7.7240e-09  1.7684e-09  1.1956e-09
11_16  3.8338e-09  2.1185e-09  3.0322e-09  1.2683e-09  3.1164e-09  8.9255e-09  5.2100e-09  3.7403e-09  inf  9.9719e-09  1.3976e-09  2.1614e-09  1.8539e-09  3.5614e-09  inf  2.1139e-09  3.0471e-09  1.4310e-08  6.2797e-09  2.4662e-09  1.3779e-09
11_17  3.9383e-09  2.7357e-09  2.0426e-09  1.2714e-09  1.6521e-09  4.6471e-09  8.9983e-09  8.2238e-09  inf  inf  inf  1.7191e-09  9.1642e-10  2.7324e-09  inf  1.5652e-09  inf  3.5190e-09  inf  2.5042e-09  1.0038e-09
12_9  1.9787e-09  1.8715e-09  2.0431e-09  1.8807e-09  4.3880e-09  4.6434e-09  3.5145e-09  8.9860e-09  3.3697e-09  5.7459e-09  2.0530e-09  1.7891e-09  1.4964e-09  3.5902e-09  4.1804e-09  5.6390e-09  inf  2.3459e-09  2.5240e-09  1.3188e-09  1.4779e-09
12_10  2.4330e-09  2.6950e-09  2.7476e-09  1.8424e-09  4.5300e-09  4.3242e-09  1.1765e-08  5.0829e-09  3.7832e-09  7.6163e-09  1.5008e-09  1.8062e-09  1.0560e-09  3.5250e-09  4.6649e-09  inf  inf  4.6740e-09  5.2919e-09  1.6124e-09  2.2507e-09
12_11  3.0414e-09  2.6823e-09  1.9815e-09  1.3532e-09  4.4567e-09  4.2541e-09  5.0881e-09  5.1902e-09  5.8525e-09  8.4145e-09  1.8429e-09  1.6366e-09  1.3247e-09  2.8838e-09  4.5209e-09  2.2945e-09  2.1540e-09  5.3967e-09  inf  2.5270e-09  1.8449e-09
12_12  3.1355e-09  2.3418e-09  1.2896e-09  1.6804e-09  3.6729e-09  1.9989e-09  3.0574e-09  3.5918e-09  2.2078e-09  6.4871e-09  1.7686e-09  2.2664e-09  3.0140e-09  7.1480e-09  inf  3.9667e-09  3.6848e-09  2.4020e-09  3.7051e-09  2.1826e-09  1.5871e-09
12_13  3.2795e-09  2.2668e-09  1.3527e-09  1.2088e-09  3.4402e-09  6.4017e-09  7.4056e-09  1.4639e-08  5.1623e-09  4.1955e-09  1.8200e-09  1.0761e-09  1.1040e-09  3.5006e-09  4.0747e-09  inf  2.7637e-09  3.3978e-09  3.0307e-09  1.2693e-09  1.3143e-09
12_14  2.6384e-09  2.8647e-09  2.6123e-09  1.5430e-09  4.9416e-09  5.7769e-09  4.5703e-09  7.6914e-09  3.5033e-09  5.8875e-09  2.0566e-09  1.4517e-09  9.7349e-10  3.5047e-09  2.9258e-09  inf  3.6727e-09  2.4838e-09  3.8919e-09  1.5372e-09  1.4365e-09
12_15  3.0712e-09  2.7338e-09  1.8931e-09  1.5251e-09  5.1215e-09  4.3342e-09  3.5628e-09  8.0426e-09  6.5279e-09  7.0730e-09  1.9744e-09  1.6575e-09  1.0382e-09  3.4595e-09  1.6674e-09   inf  3.2366e-09  3.8078e-09  4.4389e-09  1.3471e-09  1.1701e-09
12_16  2.7661e-09  2.9895e-09  1.5136e-09  9.1618e-10  3.2222e-09  3.9089e-09  9.7196e-09  2.5941e-09  4.9269e-09  inf  2.0740e-09  3.6574e-09  8.0145e-10  2.7976e-09   inf  inf  inf  1.4240e-08  inf  1.4156e-09  8.6104e-10
12_17  2.4926e-09  3.5145e-09  3.3561e-09  1.2494e-09  3.9159e-09  7.1039e-09  4.7515e-09  inf  3.8203e-09  1.9400e-09  6.6863e-09  2.5675e-09  7.7494e-10  2.9036e-09  inf  inf  1.8697e-09  4.7884e-09  inf  2.5798e-09  1.2490e-09
