#=========================================================================================
# Carina intensities
# Date: 30 october 2017
# Unit: W m-2 sr-1
#=========================================================================================
#X_Y    COJ4-3      COJ5-4      COJ6-5       COJ7-6      COJ8-7     COJ9-8      COJ10-9     COJ11-10    COJ12-11    COJ13-12    13COJ5-4    13COJ6-5    13COJ7-6    13COJ8-7    13COJ9-8    13COJ10-9   13COJ11-10  13COJ12-11  13COJ13-12  CI609       CI370       OI145
10_9    1.1935e-09  2.0973e-09  2.1282e-09  2.1560e-09  2.5478e-09  1.9268e-09  1.3511e-09  1.0710e-09  9.8824e-10  1.0081e-09  2.7328e-10  5.3772e-10  1.7837e-10  8.2104e-10  6.3058e-10  7.7061e-10  6.2298e-10  6.4696e-10  2.4078e-10  5.3264e-10  8.7928e-10  0.
10_10   1.7269e-09  3.0573e-09  3.7965e-09  3.8691e-09  4.1781e-09  3.2606e-09  2.0022e-09  1.4662e-09  1.0364e-09  1.1345e-09  5.6627e-10  7.4108e-10  3.5854e-10  8.2238e-10  6.0780e-10  6.6296e-10  6.3256e-10  7.4107e-10  3.1051e-10  5.8138e-10  1.4169e-09  2.2410e-08
10_11   3.2037e-09  4.8660e-09  6.3654e-09  6.6179e-09  6.6943e-09  5.2743e-09  3.5634e-09  2.2855e-09  1.4315e-09  1.4828e-09  9.1211e-10  9.8575e-10  6.1914e-10  9.0649e-10  6.3206e-10  5.3810e-10  6.7281e-10  6.9770e-10  3.8985e-10  8.0737e-10  2.2110e-09  3.0196e-08
10_12   4.2027e-09  6.1662e-09  8.0621e-09  8.5171e-09  8.2382e-09  6.4683e-09  4.7385e-09  2.8624e-09  1.9067e-09  1.7504e-09  1.0955e-09  1.0380e-09  7.4726e-10  9.6617e-10  7.3481e-10  4.1240e-10  7.4061e-10  6.9406e-10  5.2163e-10  9.1312e-10  2.7909e-09  0.
10_13   4.0153e-09  6.1251e-09  7.7099e-09  7.8496e-09  7.3362e-09  5.7444e-09  4.3803e-09  2.5921e-09  2.0049e-09  1.7509e-09  1.0110e-09  8.2589e-10  6.3383e-10  9.5256e-10  7.2862e-10  3.5232e-10  7.7385e-10  8.0462e-10  6.5221e-10  8.8534e-10  2.7294e-09  0.
10_14   3.4754e-09  5.1491e-09  6.1306e-09  5.7140e-09  5.2759e-09  4.0790e-09  3.2825e-09  1.9038e-09  1.7287e-09  1.5780e-09  8.3443e-10  6.1024e-10  4.2356e-10  9.0306e-10  6.7302e-10  3.8294e-10  7.5243e-10  9.8754e-10  7.8967e-10  7.8561e-10  2.2547e-09  0.
10_15   2.5616e-09  4.2180e-09  4.5131e-09  4.0080e-09  3.5681e-09  2.7224e-09  2.4397e-09  1.4309e-09  1.3424e-09  1.3227e-09  8.2203e-10  5.3886e-10  2.7786e-10  9.2559e-10  5.8163e-10  4.7487e-10  7.0867e-10  1.0445e-09  9.4418e-10  7.3031e-10  1.7943e-09  0.
11_9    2.2821e-09  3.3073e-09  3.8083e-09  3.2447e-09  3.9936e-09  2.9420e-09  2.2650e-09  1.3375e-09  1.3936e-09  1.2025e-09  5.9946e-10  7.8876e-10  4.1263e-10  8.8831e-10  8.4374e-10  7.7953e-10  4.3852e-10  7.2935e-10  3.6610e-10  7.6876e-10  1.3593e-09  0.
11_10   3.0545e-09  4.4259e-09  6.1419e-09  5.7324e-09  6.6404e-09  4.7509e-09  3.1770e-09  1.8660e-09  1.3774e-09  1.2596e-09  8.7681e-10  1.0916e-09  6.3973e-10  9.1984e-10  8.4887e-10  6.4326e-10  5.4097e-10  7.6759e-10  3.2918e-10  7.4010e-10  2.0650e-09  0.
11_11   5.2519e-09  6.4544e-09  9.1529e-09  9.1675e-09  9.7273e-09  7.2084e-09  4.9225e-09  2.7773e-09  1.6280e-09  1.5283e-09  1.2225e-09  1.3312e-09  8.6658e-10  1.0287e-09  7.4861e-10  5.7725e-10  6.4234e-10  7.0211e-10  2.8479e-10  7.6754e-10  2.9909e-09  0.
11_12   5.6134e-09  7.6185e-09  1.0427e-08  1.0925e-08  1.0761e-08  8.2608e-09  5.8920e-09  3.2683e-09  1.9360e-09  1.7379e-09  1.3792e-09  1.2657e-09  8.9161e-10  1.0578e-09  7.4688e-10  4.8755e-10  7.1713e-10  7.2324e-10  3.8848e-10  8.7067e-10  3.4718e-09  0.
