X_Y   CO J=1-0   C2H N=1-0 J=3/2-1/2 F=2-1   C3H2 J=2-1 K+=1-0 K-=2-1   CS J=2-1   HCN J=1-0 F=2-1   HCO+ J=1-0   HNC J=1-0   SO J=3-2 K=2-1
36_3   2.3912E-09   1.1871E-11   7.5350E-12   5.8779E-11   -1.3559E-10   -6.8983E-11   3.6865E-11   -1.2604E-11
37_3   2.2169E-09   -6.0922E-12   4.6077E-11   8.0995E-11   7.8900E-11   -3.3575E-11   1.3378E-10   -2.4764E-11
38_3   2.1555E-09   3.2428E-11   6.2057E-11   7.7207E-11   3.5063E-12   -1.4787E-11   1.7290E-10   -2.3231E-11
39_3   2.2080E-09   2.5794E-11   -3.9894E-11   8.4028E-11   6.7842E-11   5.5445E-11   1.3312E-10   -2.7146E-11
40_3   2.2587E-09   6.0829E-11   -5.1722E-11   5.4886E-11   1.4205E-10   6.3907E-11   1.2889E-11   -9.3840E-11
41_3   2.3151E-09   2.6118E-11   2.3892E-11   2.8431E-11   6.9148E-11   1.6040E-10   -2.9551E-11   -1.1388E-10
42_3   2.3538E-09   7.6796E-11   -9.3951E-11   1.2108E-11   -7.3709E-11   1.1744E-10   -2.8905E-11   -5.3694E-11
43_3   2.2771E-09   1.0236E-10   -3.4892E-11   -4.8091E-12   -1.1188E-10   9.4417E-12   -5.0915E-11   -2.9882E-11
44_3   2.1920E-09   -1.7045E-11   -4.3459E-11   2.1660E-11   -6.0415E-11   -7.6447E-11   -2.7424E-11   -4.0346E-11
0_4   2.8297E-08   3.8596E-10   1.3496E-10   6.5252E-10   5.9473E-10   9.3305E-10   2.8454E-10   3.2943E-10
1_4   2.5055E-08   4.4029E-10   9.7157E-11   6.2049E-10   4.9740E-10   9.9914E-10   3.0784E-10   3.2341E-10
2_4   2.0529E-08   4.7509E-10   5.4034E-11   4.3705E-10   5.6914E-10   1.0051E-09   3.1545E-10   2.5520E-10
3_4   1.5751E-08   3.9892E-10   8.2671E-11   2.9572E-10   4.3686E-10   6.9509E-10   2.3910E-10   1.2694E-10
4_4   1.1523E-08   1.7038E-10   4.2009E-11   2.3607E-10   2.6353E-10   4.7483E-10   1.8772E-10   3.7214E-11
5_4   8.7467E-09   3.7684E-11   1.0050E-10   1.9632E-10   1.0003E-10   2.6021E-10   1.3998E-10   -5.5492E-12
6_4   7.3392E-09   1.6572E-11   1.3466E-10   1.4679E-10   9.2499E-11   1.0345E-10   1.0593E-10   6.1600E-12
7_4   6.5510E-09   1.0225E-10   1.6934E-11   1.0513E-10   1.0919E-10   1.4749E-10   8.4665E-11   1.4936E-11
8_4   6.2765E-09   3.9408E-11   -3.8415E-11   9.9990E-11   9.6393E-11   2.0446E-10   4.5327E-11   5.3059E-11
9_4   6.4376E-09   5.0910E-11   -2.6118E-11   7.8255E-11   9.3931E-11   2.4552E-10   2.3931E-11   6.0009E-11
10_4   6.6740E-09   8.4701E-11   -1.9998E-11   6.9797E-11   2.7840E-11   2.8387E-10   6.8950E-11   -1.0875E-11
11_4   6.8168E-09   1.2665E-10   -2.3293E-11   7.2217E-11   -4.1660E-11   2.9354E-10   1.0237E-10   -3.5981E-11
