X_Y   CO J=1-0   C2H N=1-0 J=3/2-1/2 F=2-1   C3H2 J=2-1 K+=1-0 K-=2-1   CS J=2-1   HCN J=1-0 F=2-1   HCO+ J=1-0   HNC J=1-0   SO J=3-2 K=2-1
6_3   1.6658E-10   3.6290E-11   3.6223E-11   3.9668E-11   2.8834E-11   3.0516E-11   3.5991E-11   3.1393E-11
7_3   1.8441E-10   3.8330E-11   3.0301E-11   3.3483E-11   2.3585E-11   2.8223E-11   3.3594E-11   3.2994E-11
8_3   1.7033E-10   3.9797E-11   3.4918E-11   3.0307E-11   2.7030E-11   3.0902E-11   2.7400E-11   3.2418E-11
9_3   1.5480E-10   4.3223E-11   3.8573E-11   2.9744E-11   2.4417E-11   3.9264E-11   2.9758E-11   3.5120E-11
10_3   1.8702E-10   3.7225E-11   3.6421E-11   2.8380E-11   2.4350E-11   3.4577E-11   3.4397E-11   3.2676E-11
11_3   2.1275E-10   3.2777E-11   3.8608E-11   2.9997E-11   2.9257E-11   3.7568E-11   3.1066E-11   3.8972E-11
12_3   1.8910E-10   3.2659E-11   3.5455E-11   3.0000E-11   3.4260E-11   3.7793E-11   2.9243E-11   4.5504E-11
13_3   1.5373E-10   4.3116E-11   3.4872E-11   3.1358E-11   2.4011E-11   2.9806E-11   2.7903E-11   4.8663E-11
14_3   1.5638E-10   3.7955E-11   2.6372E-11   3.4462E-11   1.6243E-11   2.3671E-11   2.9055E-11   4.1876E-11
15_3   1.8641E-10   4.0770E-11   3.6485E-11   4.2232E-11   2.1516E-11   3.2972E-11   3.2474E-11   3.5397E-11
16_3   1.9201E-10   3.8324E-11   3.8949E-11   3.6245E-11   3.1919E-11   3.1236E-11   2.8467E-11   3.5661E-11
17_3   1.7714E-10   4.0163E-11   3.9466E-11   3.4443E-11   2.2693E-11   2.8892E-11   3.1116E-11   3.6680E-11
18_3   1.9052E-10   4.5479E-11   3.7818E-11   3.2846E-11   2.2351E-11   2.6232E-11   3.7432E-11   3.1256E-11
19_3   1.8849E-10   4.5437E-11   3.9219E-11   3.1104E-11   3.4917E-11   3.7717E-11   3.3034E-11   3.0043E-11
