n,ell,line,a0_best,a1_best,target_best
668,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
668,8,13c_o_j1__j0,3.0,0.01,
668,9,c_18o_j1__j0,3.0,0.01,
668,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
669,0,co_v0_j1__v0_j0,3.0,0.01,
669,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
669,2,cs_j2__j1,3.0,0.01,
669,3,so_n2_j3__n1_j2,3.0,0.01,
669,4,hcop_j1__j0,3.0,0.01,
669,5,hcn_j1_f2__j0_f1,3.0,0.01,
669,6,hnc_j1__j0,3.0,0.01,
669,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
669,8,13c_o_j1__j0,3.0,0.01,
669,9,c_18o_j1__j0,3.0,0.01,
669,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
670,0,co_v0_j1__v0_j0,3.0,0.01,
670,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
670,2,cs_j2__j1,3.0,0.01,
670,3,so_n2_j3__n1_j2,3.0,0.01,
670,4,hcop_j1__j0,3.0,0.01,
670,5,hcn_j1_f2__j0_f1,3.0,0.01,
670,6,hnc_j1__j0,3.0,0.01,
670,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
670,8,13c_o_j1__j0,3.0,0.01,
670,9,c_18o_j1__j0,3.0,0.01,
670,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
671,0,co_v0_j1__v0_j0,3.0,0.01,
671,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
671,2,cs_j2__j1,3.0,0.01,
671,3,so_n2_j3__n1_j2,3.0,0.01,
671,4,hcop_j1__j0,3.0,0.01,
671,5,hcn_j1_f2__j0_f1,3.0,0.01,
671,6,hnc_j1__j0,3.0,0.01,
671,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
671,8,13c_o_j1__j0,3.0,0.01,
671,9,c_18o_j1__j0,3.0,0.01,
671,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
672,0,co_v0_j1__v0_j0,3.0,0.01,
672,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
672,2,cs_j2__j1,3.0,0.01,
672,3,so_n2_j3__n1_j2,3.0,0.01,
672,4,hcop_j1__j0,3.0,0.01,
